Chin_Circumference,Chin_extremitiesDistance,EyeBrow_CentroidDistance,EyeBrow_farExtreme,EyeBrow_nearExtreme,avg_TopBottomEyeDistance,avg_LeftRightEyeDistance,LeftEyebrowEyes,RightEyebrowEyes,mouthNoseDistance,mouthSideExtreme,mouthTopExtremeDistance,Emotion
234.881,108.683,59.0339,93.0054,25,11.2096,28.6185,22.561,22.3607,24.7386,47.0956,276.007,3
279.94,118.406,61.0328,97.0206,29.2746,17.5586,30.5164,16.1245,12.0416,26.1725,56.1427,282.028,1
287.932,127.577,66.0076,111.041,21.0238,13.5178,28.5178,21,24.3311,42.0119,40.1123,289.458,4
288.77,123,58,100.02,18,16.0753,29.5419,20.3961,22.8035,32.0624,44,278.21,3
276.903,121.277,56.0803,87.2812,25.0799,16.8962,24.6927,22.0907,27.6586,25.632,24,288.295,6
291.226,138.6,72.2496,112.161,35.1283,15.5789,29.5774,28,28.2843,34.3657,47.0956,283.177,4
278.88,106.066,62.0725,101.045,25.1794,10.5208,24.055,19.2354,20.2237,35.1283,54.0093,263.211,2
276.944,117.154,58.2151,101.4,16.2788,14.6374,30.5914,22.0907,22.8473,27.2947,53.0094,265.601,5
261.807,126.127,61.0328,99.1817,26.0192,13.7013,25.4556,24.0832,26.3059,29.0689,37.054,287.388,5
319.612,117.835,70.1142,106.301,29.0689,7.53113,27.0344,24.0832,30.6757,38.3275,46.0435,242.64,6
267.319,113.031,59,104.005,16,10.6217,25.0974,29.0172,29.4279,38,43.1856,282.606,4
279.236,115.918,63.0079,100.02,30.0167,11.2236,29.7843,22.2036,25,30.0167,40,282.252,2
275.543,112.588,62.0081,110.018,13,9.74785,27.5459,21.095,22.2036,41.1096,50.0899,256.462,4
284.633,115.261,58.5491,103.247,18.2483,11.0208,27.7925,23.1948,28.4605,26.0192,38,277.8,6
273.096,120.88,65.4905,110.766,23.0217,13,28.4257,18,19.2354,25.0799,39.0128,289.016,0
283.391,139.442,60.075,101.045,22.0907,11.1129,25.1989,21.0238,20.2237,34.0147,46.0977,267.03,0
244.16,84.4038,56.0357,92.0217,20.0998,16.5742,26.5774,19,21.587,28.4429,50,266.017,5
301.717,118.663,60.2993,93.2631,27,15.582,27.1373,24.0208,24.7386,46.0109,36,287.388,5
320.508,121.754,67.2681,117.038,20.025,13.2673,31.2716,14.8661,19.6469,39.1152,40.1123,286.323,6
307.148,131.027,62.0322,99.0808,25.0799,10.0504,25.5509,26.0768,26.1725,40.05,46.0977,270.224,4
277.481,119.365,62.0725,109.073,20.2237,15.2212,29.3262,22.2036,22.0907,32.0156,49,259.879,3
256.966,110.027,66.0076,104.005,31.0644,19.604,31.3428,13.3417,8.06226,19.4165,64.0703,262.84,3
276.747,119.369,58.5491,96.7471,18.6815,11.1022,23.0963,10.0499,11.1803,34.9285,41.1096,259.401,1
233.482,118.36,55.2268,97.4166,16.0312,11.1077,25.7215,18.2483,20.3961,26.0192,35.0571,275.835,0
280.506,120.785,63.6396,100.975,25.0799,12.8007,33.8693,17.2627,25.4951,24.3516,34.3657,272.406,0
277.82,124.338,55,93.0215,18.1108,17.5701,25.1907,27.2947,24.5153,39.0128,41.0488,286.252,3
267.946,115.209,64.0078,111.041,17.2627,14.5765,29.5777,22.0907,19.4165,33.0606,41.0122,285.748,1
259.001,119.854,63.0714,100.499,26.1725,13.8412,32.5624,15.1327,17.0294,30.5941,42.0119,285.428,0
297.053,123.357,67.0075,105.005,28.0179,14.0856,29.2231,28.0713,32.3883,40.0125,45.0111,280.401,6
275.752,115.918,60.0333,90.05,28.0179,17.0733,26.0454,24.0208,27.8927,32.0156,49.0408,277.2,4
293.72,113.508,70.1783,118.207,23.0868,9.27111,30.4621,19.0263,21.2132,33.2415,47.0425,257.42,3
288.49,114.355,63.0317,99.0454,25,12.0992,25.1805,18.4391,20.0998,36,44.1814,239.059,2
263.432,111.571,68.7314,115.412,21.3776,10.7642,31.7877,19.105,21.587,25.0799,44.0454,284.401,3
259.006,113.031,59.0762,94.1329,24.0832,13.5192,26,24.0832,25.7099,29.8329,54,258.312,5
278.096,106.212,68.0074,114.018,20.0998,15.1351,32.2069,16.6433,19.4165,31.1448,44.1022,251.127,2
282.566,114.543,60.208,104.69,18.0278,10.8262,24.0974,21.0238,24.3311,36.4966,27,270.204,6
286.852,121.277,61.131,100.499,24.0832,12.5828,28.5357,21.2132,22.561,38.0526,39.0128,284.016,4
272.77,116.297,61.0082,96,26,9.63471,24.0096,21.0238,22.3607,34.0588,46,273.212,5
281.043,114.127,58.0775,100.08,17.0294,12.0208,23.2795,20.025,20.1246,37.1214,46,259.615,2
259.143,123,63.0714,102.396,25.7099,16.2808,30.9386,23.3452,25.318,32.9848,50,287.34,5
272.658,121.277,66.0076,118.038,17.0294,7.07251,23.51,16,16.1245,31.5753,39.0128,281.441,3
276.923,129.402,60.0083,101,19.105,14.917,26.8277,27.2029,26.1725,33.0606,38.1182,273.79,6
293.744,126.606,60.0333,89.0056,32.0624,19.0263,31.0409,11.7047,6.32456,35.0143,47,278.787,0
262.326,114.63,63.0079,100,24.0832,6.5,25.6026,18.2483,20.025,34.0147,37.054,278.065,1
278.563,113.508,59.1354,96.421,23.0868,10.7202,22.5176,19.0263,20.8806,31.5753,46.0109,281.221,2
297.545,123.693,63.2851,97.2522,28.2843,11.3246,28.2165,26,30.0832,40.0125,43.0116,265.801,2
274.563,121.807,59.1354,97.2522,23.1948,14.3671,26.5638,22.3607,21.3776,28.1603,45,284.605,5
319.629,124.74,68.0074,108.005,26,8.06226,26.0492,27.074,28.4429,36.2215,44.0454,286.667,6
265.16,121.297,65.0077,97.0464,31.0161,15.8243,27.1103,25,25.318,37.855,35.0571,288.78,4
258.18,93.9628,58,96.0052,22.561,11.2236,21.6493,7.2111,3.16228,28.4429,59.2115,269.007,3
232.081,106.738,68.0294,109.293,27.0185,11.1129,33.0503,21.3776,23.5372,27.2029,41.1096,277.418,3
269.015,137.186,62.0081,102.176,23.0217,19.2474,33.8712,26.4764,28.8617,28.4429,47.0425,268.403,3
260.073,118.457,59,97.0206,23,15.0333,30.607,25.7099,24.7386,26.4764,51,268.403,4
275.391,134.536,67.2681,109.018,30.2655,11.599,27.3968,21.2132,23.5372,31.3847,30.1496,309.386,1
293.535,121.807,66.0076,113.04,20.025,12.0711,31.6597,22.3607,26.6833,32.249,40.05,264.615,4
249.531,119.05,58.0345,97.0206,19.6469,13.8566,26.123,20.3961,22.0227,30,39,264.698,5
268.057,116.559,54.0833,89.3588,16.2788,14.6756,27.592,21.2132,24.5153,31.0161,40.05,262.855,2
296.958,116.966,66,108.019,25.02,13.5765,27.5449,26.0192,26.1725,43.0465,45,261.008,6
249.28,114.935,59,95.0053,24.0208,13.6491,22.6452,20.025,20,26.0192,38.0526,270.601,0
275.021,122.723,69.029,108.042,30.1496,12.1666,29.5,17.1172,15.2971,36.0555,42.2966,292.898,0
300.141,128.098,66.1211,108,23.1948,14.0931,27.1664,23.0217,26.6833,36.0139,36.1248,290.271,4
261.286,116.499,62.0322,97.1288,25.0799,15.2621,25.3292,22.0907,23.0868,39.0128,27.0185,276.328,0
295.417,124.193,70.0286,118.152,21.095,12.0902,26.736,20.025,22.0227,37.0135,42,280.13,6
265.951,113.437,63.0317,98,25.0799,14.8332,28.0453,28.0179,30.5941,28.6356,41.1096,271.4,3
268.029,120.033,58.0086,93.0484,26.0768,12.54,26.0959,26.0192,24,36.0139,50,287.48,2
297.332,132.136,55.0818,91.1373,21.3776,13.0227,29.502,24.0208,28.8617,24,38.0526,260.969,5
311.079,133.18,66.1891,104.043,27.6586,16.6469,28.5076,26.0768,30.2655,41,30.0666,289.698,4
283.738,128.655,62.0081,102.313,21.095,14.5765,27.2284,18.1108,21.2132,31.0644,40.1123,277.618,1
305.867,128.86,54.0093,92.1358,16.0312,14.5345,29.5857,25.0799,30.0832,43.1045,52.345,269.804,6
284.655,120.54,62.2896,95.4254,28.4429,13.0902,24.855,23,24.3311,29.8329,44,265.601,6
290.731,123,61.131,94.0479,31.1448,20.025,31.1473,21.095,22.3607,33,39.0512,299.546,0
274.384,120.88,58,85.0059,30,13.1589,20.652,22.0227,25.318,36.0555,36.1248,269.401,6
281.348,119.641,63,107.075,25.0799,11.8523,29.2116,23.0868,24.0832,30,39.0512,275.601,0
245.315,99.4636,70,112.004,27.1662,11.1042,27.5182,16.7631,16.2788,31.0161,41.1096,281.668,0
252.779,115.261,59.0339,104.12,16,11.249,26.4437,20,21.2132,31,38.0526,264.615,2
300.565,111.158,63,96.0469,28.0713,11.5,26.5,21.3776,20.0998,44.0114,44,270.204,0
262.412,106.705,58.0086,97.0052,19.2354,14.5842,29.2298,23.0868,22.2036,33.0606,44.0114,260.665,4
276.824,137.295,57.0088,102.044,23.0217,9.52494,24.8549,7.07107,10.198,33.2415,24.0208,306.366,0
267.968,112.588,58.0086,92,25.0799,21.2094,27.5949,30.2655,27.4591,30.1496,43,271.901,6
294.407,125.132,60,107.019,17,12.1169,27.5433,23.1948,24.6982,32.0156,50.04,275.274,5
294.047,131.529,66.0681,106.019,27.0185,16.5147,29.6502,28,30.2655,38.0132,47.0425,282.144,3
257.647,112.805,61.0328,92.0054,29,13.5765,26.537,21.2132,21.095,32.1403,50.01,276.205,0
246.944,108.467,63,97.0052,28,13.7419,26.5638,20.0998,18.0278,28.8617,39.0128,269.609,2
259.532,118.258,59.2115,98.5089,20.2237,12.3791,24.3693,24.1868,24.0208,26.1725,38.0132,278.403,5
302.45,128.86,68.1175,106.118,30.0666,10.0499,25.5783,26.3059,24.0832,39.2046,41.0122,272.254,1
301.652,133.959,64.0312,99.1817,26.0768,12.0419,28.6806,21.0238,27.8927,42.0119,52.0096,266.811,2
283.919,118.878,65.0692,108.167,22,18.0718,27.5089,26,23.0868,35,39.1152,281.325,6
263.522,109.636,67.1193,120.599,15.1327,9.22213,31.5802,14.8661,15.5242,31.0161,47.1699,279.235,1
301.838,124.193,62.2896,94.1329,32.0624,16.6936,28.1465,12.3693,15.2643,26.4764,48,274.235,4
287.446,127.122,53.0848,86.0523,21.095,18.5664,29.0173,21.2132,24.3516,31.257,46.0977,281.4,2
299.283,122.184,67.0298,103.078,31.1448,11,25.5114,21.095,17.1172,37.054,60.0083,264.609,6
254.963,120.934,63.0079,103.019,22,14.1875,27.0462,23.0217,21.0238,31.257,34,274.804,5
293.13,127.122,65.192,101.242,26.0768,8.6409,25.01,15.5242,19,38.0132,48.0104,264.433,2
254.866,103.325,74.0608,125.399,22.0907,9.74342,29.5169,18.6815,22.0227,34.1321,30.0167,306.315,0
289.205,125.515,59.3043,98.732,21.095,13.7419,29.8819,21.2132,27.5136,26.3059,51.0392,259.434,4
297.678,110.368,63,106.005,28.0179,8.272,29.0817,23.1948,22.0227,21.095,42,276.004,1
235.61,100,58,92.0489,23.1948,20.5525,28.27,11.7047,10,31.1448,46.2709,265.859,3
268.631,138.101,69.029,112.04,23.0217,14.1485,28.5897,24.0832,24.0208,29.0172,52.0096,228.423,2
270.92,107.056,59.0339,93.0054,26.0192,6.20156,25.7527,16.1245,17.1172,39.0512,44,259.008,1
288.273,119.683,63.0079,104.019,24,14.5664,30.1629,20.0998,20.025,38.0132,46,267.002,2
253.217,122.025,63.0714,97.1854,29.0689,12.056,25.7141,25,25.02,32,44,273.029,3
269.494,125.766,62.0081,102.005,20.2237,13.1797,26.387,22.561,24.3311,31.0644,54.0833,273.002,1
265.573,118.068,62.1289,102.044,23.0217,15.7777,27.5322,25.0799,25.0799,29.6142,42.107,277.651,2
313.131,127.346,61.2046,96.5194,28.1603,11.3495,28.0722,23.3452,28.4605,33.541,39.0512,269.201,5
239.51,115.317,71.1758,111.544,31.0161,13.4648,33.4763,29.0689,29,23.3452,43.0465,276.279,3
260.172,116.927,58.0345,92.0217,24.3311,19.0139,31.1448,26.3059,25.1794,31,42,273.029,6
256.689,119.52,64.0078,108.005,20.0998,11.5828,28.0083,22.2036,19.0263,27,52.0096,272.066,3
286.829,118.878,66.0681,95.0842,36.0555,12.8835,25.0479,21.9317,21.0238,37.1214,36.2215,273.426,3
272.629,118.533,60.2993,104.58,19.6469,11.0227,27.0874,18.1108,21.0238,34.1321,47.0425,284.459,2
261.945,98.0612,60.0333,110.041,10.0499,11.0454,25.4959,18.2483,19.6977,36.6742,43.1045,267.606,1
245.21,119.641,61.0737,102.396,20.025,11.7394,26.9247,18.2483,22.561,27.1662,43,270.204,0
292.458,111.611,66,113.004,20.025,12.5405,27.5083,26.6833,28.6356,41,44,244.049,6
280.991,112.614,58.0086,100,16,8.55882,26.0778,20.2237,22.8473,30.1496,40,272.002,4
242.503,115.948,64.3817,113.745,19.105,12.8598,33.0426,20.2237,23.3452,24.3516,45.0111,264.259,5
286.948,120.416,64.1327,104.809,23.5372,20.5119,30.724,21.2132,21.1896,37.0135,52.0384,269.824,2
246.78,113.565,59,96.0052,22.0907,14.8074,29.0082,20.6155,19.4165,30.0167,37.0135,266.282,2
298.56,132.004,65.123,112.641,21.587,8.90691,28.6697,17.2627,23.0868,31,46.0109,299.132,1
291.576,130.231,59.0762,94.4299,23.1948,12.7039,25.4951,18,22.561,38.1182,45,266.008,2
282.056,115.122,68.2642,99.2472,33.541,9.53553,26.1726,21.1896,22.0227,39.2046,52.345,260.837,4
276.756,127.816,67.0075,112.112,23.0868,15.0867,32.2079,21.0238,20.2237,30.2655,42.0476,274.824,5
285.363,119.08,62.0081,98.0051,24.0208,15.1652,26.6373,26.4764,26.6833,39.1152,44,254.031,6
289.349,119.05,65.123,96.2549,29.0172,17.0733,27.5728,25.318,25.7099,39.0128,50.04,265.601,4
294.364,128.655,61.0328,105.076,17,12.6708,27.5357,24.0832,24.7386,35.1283,36.0555,279.693,6
298.483,119.604,64.1249,96.0469,31.4006,18.6177,33.1172,29.0689,30.0167,35.1283,44,276.221,6
297.898,133.821,70.0286,116,26.0768,9.22213,28.0891,17.088,21.0238,39.0128,50,263.31,3
275.65,132.575,64.1249,105.575,23.0868,13.0594,28.8417,29.0172,32.0156,33.3766,50.3587,251.909,3
248.305,115.261,73.3348,111.45,32.3883,11.1129,27.7303,28.4429,28.0179,29.2746,46.0977,273.403,4
268.991,118.533,57.0088,87,23,12.602,26.5754,21.1896,20.8806,25.02,57.0789,246.175,5
257.327,121.807,57.1402,95.0842,20.2237,12.1036,24.2909,19.0263,19.2354,32.0624,50.04,260.048,5
286.518,131.309,59.0762,92.0489,27.0185,13.1538,25.0799,24.0208,23.0868,39.4588,49.4975,269.804,4
285.011,99.7246,78.0577,119.038,32,19.2195,31.7081,25.1794,24,31.1448,44.0454,297.321,0
271.288,123.471,57.3149,94.7629,23.5372,11.1098,22.6127,16,18.0278,35,47.0425,290.947,1
294.496,124.952,61.0737,94.0213,28.0713,14.0765,29.5428,18.9737,18.2483,36.0139,48,265.047,3
276.524,111.629,57.0789,87.5728,25.1794,16.6624,28.6806,21.095,23.0868,34.0588,43.0116,278.403,2
261.037,109.238,67.0671,103.005,28.0713,13.537,24.34,26.1725,28.0713,35.2278,39.1152,255.801,3
245.179,107.201,65.0308,97.0464,33.0151,15.8243,29.0032,30.0666,28,30.2655,48.0416,266.205,3
262.357,123.794,62.0725,106.019,19.105,10.0902,21.5434,16.0312,15.2971,37.054,34.0588,269.824,3
305.162,122.642,74.027,114.11,34,13.1589,30.0446,29.0689,29.2746,45.0444,53.0377,242.528,6
291.867,122.332,65.0692,117.107,15,14.0178,31.0645,22.0907,25,37.3363,39.2046,280.751,4
307.482,122.589,60.0083,96,19,13.0384,23.5475,25.0799,26.3059,47.0425,49.0408,252.873,6
289.175,132.22,59.0085,89,26.0768,10,21.0238,17,15,39.2046,50.04,268.881,1
282.664,121.655,60.0083,96.0469,25.1794,16.0312,27.8045,24,24.0208,42.107,54.0093,260.837,6
300.136,126.436,66.0076,106.019,24.3311,11.5435,27.5441,21.3776,22.2036,33.1361,46.0435,274.308,2
274.935,126.301,61,97.0824,24.0832,10.2451,23.5554,22,24.0208,37.0135,40.0125,274.016,0
262.784,110.476,59.1354,91.2688,26.1725,9.63471,23.6043,20,21,29.0172,38,278.805,2
287.142,132.518,64,99,30.0167,14.5178,35.1941,25.1794,23.7697,32.3883,67.0075,217.341,5
278.061,103.576,61.131,103.121,20.2237,10.0227,26.0096,18.0278,19.2354,32.1403,52.0096,279.823,1
281.769,131.848,72.1734,119.067,21.095,14.1421,33.157,20.6155,21.8403,28.0713,67.0075,230.868,4
250.126,124.197,66.1891,107.168,27.2947,14.6586,29.0173,24.1868,20.0998,31.3209,50.0899,272.606,3
291.614,117.239,71.0634,111.162,31.0644,13.5664,32.0406,27.2947,29.4279,31.0644,51.0098,272.2,4
266.158,112.089,57.0088,85.0941,32.1403,16.0178,26.7532,8.24621,7.07107,26.5707,56.0357,252.242,3
319.519,123.693,60.407,98.8585,21.2132,9.13015,25.6066,24.0208,31.7648,40.2616,54.1479,262.528,2
337.281,158.978,65.0077,100.125,35.2278,21.2516,27.9094,18.6815,22.0907,33.3766,35.0143,331.843,5
300.728,120.934,62.0322,101.079,25.02,8.53113,26.5955,17.0294,17,36.0555,36.0139,283.177,0
295.484,132.575,60.075,103.019,18.0278,15.5789,26.5,26.0192,26.4764,39,45.0999,271.28,4
313.361,119.05,65.0308,107.005,21.2132,17.5586,27.7981,24.0416,26.6833,46.0109,50.01,261.444,1
268.316,125.575,58.0345,106.075,15.0333,9.88348,26.3192,18.1108,20.3961,31,42.107,270.512,5
290.729,122.025,61.2046,96.0208,26.1725,14.0178,30,23.0868,27.6586,31.0644,40.05,276.74,4
232.444,105.081,63.0079,101.178,25,11.6182,23.8798,8.48528,5.83095,28.2843,32.3883,270.204,6
305.012,151.251,67.0671,107.075,28.0179,14.863,30.2658,24.0832,27.6586,32.5576,52,249.826,3
323.436,153.805,60,93.1933,32.0156,16.6485,30.0167,22.3607,23.7697,18.6815,57.0351,300.935,1
254.941,110.023,55.0364,88.0909,21.095,14.5,27.5089,21.0238,23.0868,36.0555,44.0114,261.123,4
282.697,121.598,67.0298,107.042,30.2655,10.6217,27.01,14.1421,11,32.0156,52.0096,281.256,0
264.249,120.669,58,92.1358,25.02,10.6892,29.7719,21.3776,22.561,26.0192,47,272.419,0
276.381,121.198,63.1269,102.078,25.0799,13.4835,30.8562,28,29.0172,30.1496,40.05,266.443,0
279.936,138.752,59,102.005,16.0312,17.1241,29.086,26.4764,29.7321,31.257,54.037,274.303,2
286.501,133.821,57.0351,90.2718,25.1794,14.1589,27.1185,18.1108,20.6155,34.2345,46,263.211,5
262.617,113.137,64.0078,99,26.0768,18.1324,26.5449,25.1794,25.1794,35.1283,37,287.341,5
237.801,105.537,59.0762,102.396,20.2237,13.6887,27.2739,21,21,25.02,41.0122,295.42,5
222.184,101.637,69.2604,121.594,19.0263,13.0337,33.2415,19,20,19.0263,36.0555,273.403,3
278.304,135.724,68.0294,108.167,28.1603,15.7262,27.5182,21,21.3776,29.6142,36.1248,304.416,1
271.165,116.103,60.0333,102,21.095,13.0711,28.0897,23.1948,24.1868,28.0713,48,271.017,2
272.93,123.628,60.0333,89.0505,30.1496,14.0192,26.1914,19.0263,20,38.1182,46.0109,279.115,0
270.685,112.45,62,105.043,19.105,13.0386,27.5,23.0217,21.587,37.3363,46.0109,262.002,2
274.486,117.478,70.0071,111.018,28.1603,14.3512,31.3147,31.0644,30.0666,31.0644,44,263.002,4
262.602,115.122,63,101.02,26,8.60977,24.51,21,20.0998,27,48.0104,261.905,4
295.756,128.39,55.0091,87.367,23.0868,15.1855,25.1989,23.3452,27.8927,42.107,46.3897,268.211,5
243.123,121.758,64.0703,108.462,23.0217,11.1198,26.6477,17.4642,21,31.0483,42.107,280.631,5
239.018,116.43,54.231,89.2749,21.2132,9.13015,24.8407,5.83095,4,20.2237,36.0139,258.312,1
295.881,128.655,64.0703,107.075,23.0868,10.0249,26.2071,22.2036,18.0278,31.0161,54,264.433,5
259.502,109.202,62.0081,99.1262,26.0768,15.6286,28.0946,12.0416,12.1655,32.1403,30.0666,313.547,0
292.61,122.004,68,117.017,20.025,8.03113,30.0089,18.2483,21.3776,33.0606,42.0119,271.4,5
252.939,112.805,60.6712,88.8144,32.1403,23.5,29.7939,20.6155,18.0278,31.0644,42,285.953,2
290.905,127.098,58.0086,92.1358,23.0217,14.6756,28,25.318,26.9258,39.1152,54,262.069,6
298.512,125.929,63.3877,97.2522,32.1403,18.138,28.1175,15.6205,10.198,35.0143,46.0435,284.861,1
276.46,118.14,60.0083,95.0053,24.0208,11.7009,25.0934,25.1794,23.0868,30.6757,39.1152,282.406,3
317.487,138.813,68.0074,104.019,30.1496,16.7609,28.7794,26.0768,28.4429,41.1947,52.0384,261.205,2
315.272,128.098,58.0345,94.1913,19.2354,11.611,21.0499,20.025,22.4722,48.5077,50,267.486,2
267.858,128.876,56.0803,86.0523,26.0768,16.5803,26.1748,22.3607,21.8403,29.6142,51.2445,250.06,0
266.551,112.45,68.0074,108.019,25.02,10.2451,22.5416,25.1794,27.0185,35.0143,44,265.601,6
297.071,136.132,59.0762,95.1315,23.0217,13.5664,26.6307,19.6469,22.8035,43.1045,38.0526,266.672,2
276.016,120.033,62.2013,92.2659,28.4429,15.2149,25.2575,21.2132,22.0227,36.1386,44.0454,246.611,6
286.305,113.283,65.0077,99.0454,29.1548,13.0192,25.2729,23.0217,24.0832,50.0899,56,247.518,6
275.093,129.402,54.0093,99.7246,10.198,17.1176,32.5869,12.1655,16.4012,31.257,55.0364,274.016,1
285.773,130.495,69.3542,110.291,28,13.1126,27.6465,18.0278,20.3961,24.3311,40,279.609,1
281.117,131.605,69.0072,119.067,21.2132,22.0567,41.6832,15.2971,20.6155,26.9258,66.0076,249.263,3
281.474,111.086,61.3922,100.663,22.1359,15.1324,31.1685,15.1327,19.3132,27.4591,46.3897,270.496,0
